score_id	hgnc_symbol	grouping_id	study_id	description	ensembl_gene_id	ensembl_version
cell_cycle	ANLN	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000011426	99
cell_cycle	ANP32E	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000143401	99
cell_cycle	AURKA	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000087586	99
cell_cycle	AURKB	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000178999	99
cell_cycle	BIRC5	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000089685	99
cell_cycle	BUB1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000169679	99
cell_cycle	CBX5	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000094916	99
cell_cycle	CCNB2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000157456	99
cell_cycle	CDC20	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000117399	99
cell_cycle	CDC25C	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000158402	99
cell_cycle	CDCA2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000184661	99
cell_cycle	CDCA3	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000111665	99
cell_cycle	CDCA8	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000134690	99
cell_cycle	CDK1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000170312	99
cell_cycle	CENPA	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000115163	99
cell_cycle	CENPE	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000138778	99
cell_cycle	CENPF	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000117724	99
cell_cycle	CKAP2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000136108	99
cell_cycle	CKAP2L	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000169607	99
cell_cycle	CKAP5	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000175216	99
cell_cycle	CKS1B	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000173207	99
cell_cycle	CKS2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000123975	99
cell_cycle	CTCF	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000102974	99
cell_cycle	DLGAP5	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000126787	99
cell_cycle	ECT2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000114346	99
cell_cycle	FAM64A	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000129195	99
cell_cycle	G2E3	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000092140	99
cell_cycle	GAS2L3	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000139354	99
cell_cycle	GTSE1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000075218	99
cell_cycle	HJURP	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000123485	99
cell_cycle	HMGB2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000164104	99
cell_cycle	HMMR	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000072571	99
cell_cycle	HN1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000189159	99
cell_cycle	KIF11	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000138160	99
cell_cycle	KIF20B	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000138182	99
cell_cycle	KIF23	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000137807	99
cell_cycle	KIF2C	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000142945	99
cell_cycle	LBR	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000143815	99
cell_cycle	MKI67	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000148773	99
cell_cycle	NCAPD2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000010292	99
cell_cycle	NDC80	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000080986	99
cell_cycle	NEK2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000117650	99
cell_cycle	NUF2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000143228	99
cell_cycle	NUSAP1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000137804	99
cell_cycle	PSRC1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000134222	99
cell_cycle	RANGAP1	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000100401	99
cell_cycle	SMC4	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000113810	99
cell_cycle	TACC3	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000013810	99
cell_cycle	TMPO	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000120802	99
cell_cycle	TOP2A	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000131747	99
cell_cycle	TPX2	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000088325	99
cell_cycle	TTK	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000112742	99
cell_cycle	TUBB4B	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000188229	99
cell_cycle	UBE2C	G2/M	TiroshI-27124452	Cell cycle; Table S5	ENSG00000175063	99
cell_cycle	ATAD2	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000156802	99
cell_cycle	BLM	S	TiroshI-27124452	Cell cycle; Table S5	ENSG00000197299	99
